month,flow,value_omr_mn
2020-06,exports,667.470458
2020-06,imports,792.5187040000002
2020-06,re_exports,87.49783799999999
2020-07,exports,819.6944760000001
2020-07,imports,952.7119250000001
2020-07,re_exports,121.59600399999997
2020-08,exports,845.593475
2020-08,imports,831.0193619999999
2020-08,re_exports,79.971108
2020-09,exports,1029.4356389999998
2020-09,imports,861.406581
2020-09,re_exports,203.97196899999994
2020-10,exports,1015.185733
2020-10,imports,827.8957220000001
2020-10,re_exports,124.213819
2020-11,exports,1026.11628
2020-11,imports,976.541998
2020-11,re_exports,186.14531100000002
2020-12,exports,1168.227933
2020-12,imports,994.0909440000001
2020-12,re_exports,240.11566
2021-01,exports,1167.9121850000001
2021-01,imports,945.310516
2021-01,re_exports,112.48008999999999
2021-02,exports,1064.3835729999998
2021-02,imports,1078.814552
2021-02,re_exports,150.919162
2021-03,exports,1398.038297
2021-03,imports,1170.9453409999999
2021-03,re_exports,139.89896299999998
2021-04,exports,1382.81719
2021-04,imports,964.3744149999999
2021-04,re_exports,157.247197
2021-05,exports,1302.294756
2021-05,imports,832.4793209999999
2021-05,re_exports,80.58870200000001
2021-06,exports,1348.025893
2021-06,imports,1023.88016
2021-06,re_exports,122.30372399999999
2021-07,exports,1336.615184
2021-07,imports,843.362849
2021-07,re_exports,76.39991799999999
2021-08,exports,1457.55288
2021-08,imports,1004.6685120000001
2021-08,re_exports,83.09558400000002
2021-09,exports,1403.388296
2021-09,imports,1085.7843499999997
2021-09,re_exports,95.498334
2021-10,exports,1437.3849989999999
2021-10,imports,922.880905
2021-10,re_exports,92.014769
2021-11,exports,1512.3169269999999
2021-11,imports,965.5118350000001
2021-11,re_exports,84.74741600000003
2021-12,exports,1757.707902
2021-12,imports,1050.059186
2021-12,re_exports,123.211416
2022-01,exports,1909.914247
2022-01,imports,1029.0170959999996
2022-01,re_exports,101.897506
2022-02,exports,1550.617432
2022-02,imports,1035.544311
2022-02,re_exports,88.15012199999998
2022-03,exports,1967.2057820000002
2022-03,imports,1306.7575220000003
